"","[","objectid","fod_id","fpa_id","source_system_type","source_system","nwcg_reporting_agency","nwcg_reporting_unit_id","nwcg_reporting_unit_name","source_reporting_unit","source_reporting_unit_name","local_fire_report_id","local_incident_id","fire_code","fire_name","ics_209_incident_number","ics_209_name","mtbs_id","mtbs_fire_name","complex_name","fire_year","discovery_date","discovery_doy","discovery_time","stat_cause_code","stat_cause_descr","cont_date","cont_doy","cont_time","fire_size","fire_size_class","latitude","longitude","owner_code","owner_descr","state","county","fips_code","fips_name","cause","date","plot_date","duration_days"
"1",NA,"17","17","FS-1418878","FED","FS-FIRESTAT","FS","USCAENF","Eldorado National Forest","0503","Eldorado National Forest","109","23",NA,"POWER","CA-ENF-017646","POWER","CA3850212028020041006","POWER",NA,"2004",2004-10-06,"280","1415",2,"Equipment Use",2004-10-21,295,1000,16823,"G",38.52333333,-120.21166667,"5","USFS","CA","5","5","Amador","Human",2004-10-06,2017-10-06,15
"2",NA,"18","18","FS-1418881","FED","FS-FIRESTAT","FS","USCAENF","Eldorado National Forest","0503","Eldorado National Forest","111","35","BHA3","FREDS","CA-ENF-18044","FREDS","CA3878712031820041013","FREDS",NA,"2004",2004-10-13,"287","1618",2,"Equipment Use",2004-10-17,291,1800,7700,"G",38.78,-120.26,"5","USFS","CA","17","17","El Dorado","Human",2004-10-13,2017-10-13,4
"3",NA,"549","556","FS-1420078","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","23","05","BZS6","NINE","CA-SQF-1857","NINE","CA3569311842220050709","NINE",NA,"2005",2005-07-09,"190","1313",9,"Miscellaneous",2005-07-10,191,1800,1149,"F",35.68805556,-118.43833333,"5","USFS","CA",NA,NA,NA,"Human",2005-07-09,2017-07-09,1
"4",NA,"3852","3871","FS-1426780","FED","FS-FIRESTAT","FS","USCATNF","Tahoe National Forest","0517","Tahoe National Forest","38","13","B41Y","HARDING","CA-TNF-001215","HARDING","CA3963512032120050824","HARDING",NA,"2005",2005-08-24,"236","1458",9,"Miscellaneous",2005-09-09,252,1300,2270,"F",39.61222222,-120.35166667,"5","USFS","CA",NA,NA,NA,"Human",2005-08-24,2017-08-24,16
"5",NA,"4523","4545","FS-1427790","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","62","16","B6Z0","WOOLEY","CA-KNF-004452","WOOLEY","CA4148912327020050920","WOOLEY",NA,"2005",2005-09-21,"264","1745",9,"Miscellaneous",2005-09-21,264,1900,3225,"F",41.49972222,-123.27638889,"5","USFS","CA",NA,NA,NA,"Human",2005-09-21,2017-09-21,0
"6",NA,"4923","4945","FS-1428480","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","31","09","BE0P","CRAG","CA-SQF-2156","CRAG","CA3610811818320050724","CRAG WFU",NA,"2005",2005-07-24,"205","1451",1,"Lightning",2005-10-15,288,1600,1185,"F",35.09333333,-118.20555556,"5","USFS","CA",NA,NA,NA,"Natural",2005-07-24,2017-07-24,83
"7",NA,"9165","9208","FS-1436048","FED","FS-FIRESTAT","FS","USCAINF","Inyo National Forest","0504","Inyo National Forest","15","INF665","CR7S","GOODALE","CA-BDU-006570","GOODALE","CA3696011828320060626","GOODALE",NA,"2006",2006-06-26,"177","1437",1,"Lightning",2006-06-30,181,800,3747.1,"F",36.97638889,-118.26444444,"14","MISSING/NOT SPECIFIED","CA","27","27","Inyo","Natural",2006-06-26,2017-06-26,4
"8",NA,"9332","9376","FS-1436358","FED","FS-FIRESTAT","FS","USNVHTF","Humboldt-Toiyabe National Forest","0417","Humboldt-Toiyabe National Forest","37","D2-09-2006","CZA6","JACKASS","NV-HTF-1365","JACKASS","NV3859211937620060717","JACKASS",NA,"2006",2006-07-17,"198","1615",1,"Lightning",2006-07-21,202,1800,6255,"G",38.55166667,-119.35944444,"5","USFS","CA","51","51","Mono","Natural",2006-07-17,2017-07-17,4
"9",NA,"9957","10003","FS-1437317","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","59","11","C04X","RUSH","CA-KNF-003497","Uncles Complex","CA4109112300620060724","RUSH","UNCLES COMPLEX","2006",2006-07-24,"205","1316",1,"Lightning",2006-11-13,317,1800,4850,"F",41.10333333,-123.03666667,"5","USFS","CA","93","93","Siskiyou","Natural",2006-07-24,2017-07-24,112
"10",NA,"10419","10467","FS-1437913","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","39","039","C0QH","RIDGE","CA-LPF-001440","Ridge","CA3491311929720060722","RIDGE","MT. PINOS LIGHTNING COMPLEX","2006",2006-07-22,"203","1530",1,"Lightning",2006-07-31,212,2000,2418,"F",34.90083333,-119.27944444,"5","USFS","CA","29","29","Kern","Natural",2006-07-22,2017-07-22,9
"11",NA,"11757","11810","FS-1439724","FED","FS-FIRESTAT","FS","USCASHF","Shasta-Trinity National Forest","0514","Shasta-Trinity National Forest","2","001","CC6E","HOTLUM","CA-SKU-000906","HOTLUM/ UNIFIED COMMAND","CA4151212231520060224","HOTLUM",NA,"2006",2006-02-26,"57","1200",5,"Debris Burning",2006-03-04,63,1800,2815,"F",41.46777778,-122.33333333,"5","USFS","CA","93","93","Siskiyou","Human",2006-02-26,2017-02-26,6
"12",NA,"11919","11972","FS-1439980","FED","FS-FIRESTAT","FS","USCAMDF","Modoc National Forest","0509","Modoc National Forest","9","225","B6UU","HIGH","CA-MDF-000242","Happy /Miller Complex","CA4144612130920060626","HIGH","HAPPY/MILLER COMPLEX","2006",2006-06-26,"177","1717",1,"Lightning",2006-07-15,196,1200,1049,"F",41.46916667,-121.33472222,"5","USFS","CA","49","49","Modoc","Natural",2006-06-26,2017-06-26,19
"13",NA,"12490","12544","FS-1440706","FED","FS-FIRESTAT","FS","USNVHTF","Humboldt-Toiyabe National Forest","0417","Humboldt-Toiyabe National Forest","81","HTF-1138","CR35","BALLS CANYON","NV-HTF-1138","BALLS CANYON","CA3966612007920060625","BALLS CANYON","SIERRA-TAHOE COMPLEX","2006",2006-06-25,"176","1725",1,"Lightning",2006-09-01,244,1800,1805,"F",39.66194444,-120.08277778,"13","STATE OR PRIVATE","CA","91","91","Sierra","Natural",2006-06-25,2017-06-25,68
"14",NA,"12800","12855","FS-1441162","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","8","002","CB5Q","SIERRA","CA-CNF-300","Sierra","CA3382311769020060206","SIERRA",NA,"2006",2006-02-06,"37","410",9,"Miscellaneous",2006-02-06,37,428,10584,"G",33.85194444,-117.64972222,"5","USFS","CA","59","59","Orange","Human",2006-02-06,2017-02-06,0
"15",NA,"13733","13793","FS-1442475","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","55","026","C0VQ","HORSE","CA-CNF-2059","HORSE FIRE","CA3271711662220060723","HORSE",NA,"2006",2006-07-23,"204","605",4,"Campfire",2006-07-29,210,1800,16677,"G",32.75444444,-116.66916667,"5","USFS","CA","73","73","San Diego","Human",2006-07-23,2017-07-23,6
"16",NA,"13858","13918","FS-1442617","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","44","044","C0T1","BALD","CA-LPF-1442","BALD","CA3493011996120060722","BALD","SAN RAFAEL COMPLEX","2006",2006-07-22,"203","1825",1,"Lightning",2006-07-30,211,1800,1250,"F",34.925,-119.95972222,"5","USFS","CA","83","83","Santa Barbara","Natural",2006-07-22,2017-07-22,8
"17",NA,"14112","14173","FS-1442916","FED","FS-FIRESTAT","FS","USCAMDF","Modoc National Forest","0509","Modoc National Forest","74","484","B6UU","SAGE","CA-MDF-484","Sage","CA4170812050420060724","SAGE",NA,"2006",2006-07-26,"207","1414",1,"Lightning",2006-07-28,209,1636,4871,"F",41.68583333,-120.51833333,"5","USFS","CA","49","49","Modoc","Natural",2006-07-26,2017-07-26,2
"18",NA,"14234","14297","FS-1443059","FED","FS-FIRESTAT","FS","USCASRF","Six Rivers National Forest","0510","Six Rivers National Forest","27","52-06","C1UK","SOMES","CA-SRF-997","ORLEANS COMPLEX","CA4133612346520060724","ORLEANS COMPLEX","ORLEANS COMPLEX","2006",2006-07-24,"205","1703",1,"Lightning",2006-10-18,291,1800,15710,"G",41.315,-123.49666667,"5","USFS","CA","23","23","Humboldt","Natural",2006-07-24,2017-07-24,86
"19",NA,"14307","14372","FS-1443151","FED","FS-FIRESTAT","FS","USCAMNF","Mendocino National Forest","0508","Mendocino National Forest","5","MNF-697","CR81","HARVEY","CA-MNF-705","Yolla Bolly Complex - WFU","CA4005312291020060626","HARVEY","YOLLA BOLLY WFU COMPLEX","2006",2006-06-26,"177","1630",1,"Lightning",NA,NA,NA,1247,"F",40.05888889,-122.90805556,"5","USFS","CA","103","103","Tehama","Natural",2006-06-26,2017-06-26,NA
"20",NA,"14308","14373","FS-1443152","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","185","62","C6VR","PINNACLES","CA-BDF-9056","PINNACLES","CA3432311720020060919","PINNACLES",NA,"2006",2006-09-19,"262","930",7,"Arson",2006-09-25,268,1800,2750,"F",34.28444444,-117.2125,"5","USFS","CA","71","71","San Bernardino","Human",2006-09-19,2017-09-19,6
"21",NA,"14382","14448","FS-1443249","FED","FS-FIRESTAT","FS","USCATNF","Tahoe National Forest","0517","Tahoe National Forest","64","AM-8","C54C","RALSTON","CA-TNF-1443","RALSTON","CA3902412068120060905","RALSTON",NA,"2006",2006-09-05,"248","1551",9,"Miscellaneous",2006-09-05,248,1628,8422,"G",39.01666667,-120.7025,"13","STATE OR PRIVATE","CA","61","61","Placer","Human",2006-09-05,2017-09-05,0
"22",NA,"14384","14450","FS-1443251","FED","FS-FIRESTAT","FS","USCAMNF","Mendocino National Forest","0508","Mendocino National Forest","15","MNF894","C1HD","HUNTER","CA-MNF-894","HUNTER","CA3966212292720060724","HUNTER",NA,"2006",2006-07-24,"205","1710",1,"Lightning",2006-09-07,250,1800,16296,"G",39.66055556,-122.86166667,"5","USFS","CA","45","45","Mendocino","Natural",2006-07-24,2017-07-24,45
"23",NA,"14500","14569","FS-1443387","FED","FS-FIRESTAT","FS","USCATNF","Tahoe National Forest","0517","Tahoe National Forest","68","YRN-13","C6V7","BASSETTS","CA-TNF-001525","BASSETTS","CA3963312058920060919","BASSETTS",NA,"2006",2006-09-19,"262","1354",9,"Miscellaneous",2006-10-11,284,1800,2114,"F",39.61694444,-120.60166667,"5","USFS","CA","91","91","Sierra","Human",2006-09-19,2017-09-19,22
"24",NA,"14501","14570","FS-1443388","FED","FS-FIRESTAT","FS","USCASRF","Six Rivers National Forest","0510","Six Rivers National Forest","28","58-02","C6L7","HANCOCK","CA-KNF-003497","Uncles Complex","CA4142612330620060724","HANCOCK","UNCLES COMPLEX","2006",2006-07-24,"205","2222",1,"Lightning",2006-10-23,296,1800,10770,"G",41.44888889,-123.2925,"5","USFS","CA","93","93","Siskiyou","Natural",2006-07-24,2017-07-24,91
"25",NA,"14600","14670","FS-1443501","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","41","006","B6UQ","TITUS","CA-KNF-3536","Happy Camp","CA4160912335520060723","TITUS","HAPPY CAMP COMPLEX","2006",2006-07-23,"204","1800",1,"Lightning",NA,NA,NA,5792,"G",41.60277778,-123.37694444,"5","USFS","CA","93","93","Siskiyou","Natural",2006-07-23,2017-07-23,NA
"26",NA,"14836","14907","FS-1443777","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","64","064","C50E","DAY","CA-LPF-002023","DAY","CA3461511897120060904","DAY",NA,"2006",2006-09-04,"247","1415",5,"Debris Burning",2006-10-30,303,1800,162702,"G",34.63222222,-118.76972222,"5","USFS","CA","111","111","Ventura","Human",2006-09-04,2017-09-04,56
"27",NA,"15101","15173","FS-1444094","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","12","012","CQ47","PERKINS","CA-LPF-1060","Perkins","CA3485111969520060619","PERKINS","PERKINS COMPLEX","2006",2006-06-19,"170","1322",9,"Miscellaneous",2006-07-20,201,1800,14988,"G",34.94361111,-119.68722222,"14","MISSING/NOT SPECIFIED","CA","83","83","Santa Barbara","Human",2006-06-19,2017-06-19,31
"28",NA,"15104","15176","FS-1444097","FED","FS-FIRESTAT","FS","USCAMNF","Mendocino National Forest","0508","Mendocino National Forest","16","016","B6UT","KINGSLEY","CA-MNF-897","Kingsley Complex","FS-0508-016-20060725","KINGSLEY","KINGSLEY COMPLEX","2006",2006-07-25,"206","827",1,"Lightning",2006-08-09,221,1800,6854,"G",40.03777778,-122.94138889,"5","USFS","CA","103","103","Tehama","Natural",2006-07-25,2017-07-25,15
"29",NA,"15180","15252","FS-1444201","FED","FS-FIRESTAT","FS","USCAPNF","Plumas National Forest","0511","Plumas National Forest","33","PNF-360","B6UW","BOULDER","CA-PNF-371","Boulder Complex","CA4019512057720060625","BOULDER","BOULDER COMPLEX","2006",2006-06-25,"176","2330",1,"Lightning",2006-07-12,193,1800,2920,"F",40.21888889,-120.60722222,"5","USFS","CA","63","63","Plumas","Natural",2006-06-25,2017-06-25,17
"30",NA,"15234","15306","FS-1444261","FED","FS-FIRESTAT","FS","USCASHF","Shasta-Trinity National Forest","0514","Shasta-Trinity National Forest","177","34","C5SP","PIGEON","CA-SHF-2120","PIGEON","CA4095112320220060902","PIGEON","BAR COMPLEX","2006",2006-09-02,"245","950",9,"Miscellaneous",2006-10-10,283,1800,35101,"G",40.75111111,-123.15083333,"5","USFS","CA","105","105","Trinity","Human",2006-09-02,2017-09-02,38
"31",NA,"17377","17462","FS-1446804","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","210","071","C8CC","ESPERANZA","CA-RRU-091190","Esperanza","CA3386111687920061026","ESPERANZA",NA,"2006",2006-10-26,"299","122",7,"Arson",2006-10-30,303,1800,40200,"G",33.89972222,-116.76611111,"14","MISSING/NOT SPECIFIED","CA","65","65","Riverside","Human",2006-10-26,2017-10-26,4
"32",NA,"17580","17669","FS-1447153","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","18","03","C0DY","MAGGIE","CA-SQF-002100-06","MAGGIE","CA3632311850620060709","MAGGIE",NA,"2006",2006-07-09,"190","2005",1,"Lightning",2006-12-11,345,1300,2097,"F",36.26333333,-118.61472222,"5","USFS","CA","107","107","Tulare","Natural",2006-07-09,2017-07-09,155
"33",NA,"17588","17677","FS-1447161","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","19","04","C0DY","TAMARACK","CA-SQF-002106-06","TAMARACK",NA,NA,NA,"2006",2006-07-09,"190","2005",1,"Lightning",2006-12-11,345,1300,4654,"F",36.32055556,-118.40305556,"5","USFS","CA","107","107","Tulare","Natural",2006-07-09,2017-07-09,155
"34",NA,"17591","17680","FS-1447165","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","65","16","C2TY","BRODER WFU","CA-SQF-2511","BRODER/BECK","CA3614511817320060726","BRODER WFU","BRODER/BECK COMPLEX","2006",2006-07-27,"208","800",1,"Lightning",2006-07-29,210,1330,1220,"F",36.14194444,-118.18555556,"5","USFS","CA","107","107","Tulare","Natural",2006-07-27,2017-07-27,2
"35",NA,"17596","17685","FS-1447176","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","66","17","C2TY","BECK WFU","CA-SQF-2511","BRODER/BECK","CA3614511817320060726","BRODER WFU","BRODER/BECK COMPLEX","2006",2006-07-27,"208","1300",1,"Lightning",2006-09-29,272,1330,2270,"F",36.16666667,-118.16888889,"5","USFS","CA","107","107","Tulare","Natural",2006-07-27,2017-07-27,64
"36",NA,"17652","17741","FS-1447238","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","83","83","B6UX","MILLARD","CA-BDF-6773","MILLARD COMPLEX","CA3411411662020060709","MILLARD","SAWTOOTH-MILLARD-HEART COMPLEX ","2006",2006-07-09,"190","833",1,"Lightning",2006-09-09,252,1800,24000,"G",34.34166667,-116.76666667,"5","USFS","CA","71","71","San Bernardino","Natural",2006-07-09,2017-07-09,62
"37",NA,"17658","17747","FS-1447244","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","159","159","C5J5","EMERALD","CA-BDF-8337","EMERALD","CA3409211705720060829","EMERALD",NA,"2006",2006-08-29,"241","1500",9,"Miscellaneous",2006-09-04,247,1800,2109,"F",34.08416667,-117.09361111,"5","USFS","CA","71","71","San Bernardino","Human",2006-08-29,2017-08-29,6
"38",NA,"20019","20121","FS-1450410","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","4","01","DD39","JAMES","CA-SQF-000818","JAMES","CA3574911839820070429","JAMES",NA,"2007",2007-07-29,"210","1446",9,"Miscellaneous",2007-08-02,214,1900,4200,"F",35.7625,-118.4,"5","USFS","CA","29","29","Kern","Human",2007-07-29,2017-07-29,4
"39",NA,"20859","20962","FS-1451435","FED","FS-FIRESTAT","FS","USCAINF","Inyo National Forest","0504","Inyo National Forest","15","INF768","DNJ3","SAGE","CA-INF784","Inyo Complex","CA3715411835320070706","INYO COMPLEX (SAGE)","INYO COMPLEX","2007",2007-07-06,"187","1237",1,"Lightning",2007-07-11,192,600,6460,"G",37.13,-118.385,"5","USFS","CA","27","27","Inyo","Natural",2007-07-06,2017-07-06,5
"40",NA,"21157","21261","FS-1451796","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","11","03","DG62","GOLDLEDGE","CA-SQF-001317","GOLDLEDGE","CA3587811842820070603","GOLDLEDGE",NA,"2007",2007-06-03,"154","1131",9,"Miscellaneous",2007-06-16,167,1700,4200,"F",35.89472222,-118.46305556,"5","USFS","CA","29","29","Kern","Human",2007-06-03,2017-06-03,13
"41",NA,"21334","21438","FS-1452002","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","43","015","DQM0","CHINA","CA-KNF-003238","China-Back Complex","CA4184212270320070710","CHINA BACK COMPLEX","CHINA-BACK COMPLEX","2007",2007-07-11,"192","1230",1,"Lightning",2007-08-18,230,2359,2906,"F",41.84305556,-122.72277778,"5","USFS","CA","93","93","Siskiyou","Natural",2007-07-11,2017-07-11,38
"42",NA,"21704","21809","FS-1452502","FED","FS-FIRESTAT","FS","USCAPNF","Plumas National Forest","0511","Plumas National Forest","98","CAPNF-670","DZC7","MOONLIGHT","CA-PNF-000670","MOONLIGHT","CA4022012073620070903","MOONLIGHT",NA,"2007",2007-09-03,"246","1424",2,"Equipment Use",2007-09-25,268,600,64994.45,"G",40.21333333,-120.86416667,"13","STATE OR PRIVATE","CA","63","63","Plumas","Human",2007-09-03,2017-09-03,22
"43",NA,"21930","22035","FS-1452770","FED","FS-FIRESTAT","FS","USCAPNF","Plumas National Forest","0511","Plumas National Forest","53","PNF-387","DM62","WHEELER","CA-PNF-000396","Antelope Complex","CA4013912058220070705","ANTELOPE COMPLEX (WHEELER)","ANTELOPE COMPLEX","2007",2007-07-05,"186","1804",1,"Lightning",2007-07-21,202,1800,22905.81,"G",40.12861111,-120.63611111,"5","USFS","CA","63","63","Plumas","Natural",2007-07-05,2017-07-05,16
"44",NA,"21965","22070","FS-1452806","FED","FS-FIRESTAT","FS","USNVHTF","Humboldt-Toiyabe National Forest","0417","Humboldt-Toiyabe National Forest","19","420","DPY1","BALLS CANYON","NV-2007-2899","BALLS CANYON","CA3968412005120070710","BALLS CANYON",NA,"2007",2007-07-10,"191","1618",1,"Lightning",2007-07-15,196,1800,4801,"F",39.68305556,-120.0375,"13","STATE OR PRIVATE","CA","91","91","Sierra","Natural",2007-07-10,2017-07-10,5
"45",NA,"22253","22360","FS-1453192","FED","FS-FIRESTAT","FS","USCAANF","Angeles National Forest","0501","Angeles National Forest","129","082","DY84","NORTH","CA-ANF-3631","North","CA3441611825020070902","NORTH",NA,"2007",2007-09-02,"245","1430",1,"Lightning",2007-09-02,245,1800,2200,"F",34.40333333,-118.26083333,"5","USFS","CA","37","37","Los Angeles","Natural",2007-09-02,2017-09-02,0
"46",NA,"23101","23211","FS-1454193","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","31","05","C65U","LITTLE GRIDER","CA-KNF-003176","ELK COMPLEX","CA4180412341220070710","ELK COMPLEX (LITTLE GRIDER)","ELK COMPLEX","2007",2007-07-11,"192","900",1,"Lightning",2007-12-06,340,1800,2171,"F",41.79972222,-123.42777778,"5","USFS","CA","93","93","Siskiyou","Natural",2007-07-11,2017-07-11,148
"47",NA,"23414","23526","FS-1454556","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","73","32","D0JA","PINE","CA-CNF-002463","PINE","CA3278611653420070912","PINE",NA,"2007",2007-09-12,"255","1233",4,"Campfire",2007-10-02,275,1800,2170,"F",32.80277778,-116.56111111,"5","USFS","CA","73","73","San Diego","Human",2007-09-12,2017-09-12,20
"48",NA,"23495","23607","FS-1454641","FED","FS-FIRESTAT","FS","USCATMU","Lake Tahoe Basin Management Unit","0519","Lake Tahoe Basin Management Unit","13","13","DKN9","ANGORA","CA-TMU-11011","ANGORA","CA3888612004020070623","ANGORA",NA,"2007",2007-06-24,"175","1350",4,"Campfire",2007-07-20,201,1800,3100,"F",38.86222222,-120.05194444,"5","USFS","CA","17","17","El Dorado","Human",2007-06-24,2017-06-24,26
"49",NA,"24175","24289","FS-1455467","FED","FS-FIRESTAT","FS","USCAMDF","Modoc National Forest","0509","Modoc National Forest","55","359","DQ16","FLETCHER","CA-MDF-359","Fletcher","CA4197112054520070710","FLETCHER",NA,"2007",2007-07-15,"196","1315",1,"Lightning",2007-08-04,216,1700,8121,"G",41.98833333,-120.54472222,"5","USFS","CA","49","49","Modoc","Natural",2007-07-15,2017-07-15,20
"50",NA,"24835","24951","FS-1456283","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","20","020","DMF5","ZACA","CA-LPF-001087","Zaca Two","CA3469511965920070704","ZACA",NA,"2007",2007-07-04,"185","1054",2,"Equipment Use",2007-09-02,245,1800,240207,"G",34.77916667,-120.09,"14","MISSING/NOT SPECIFIED","CA","83","83","Santa Barbara","Human",2007-07-04,2017-07-04,60
"51",NA,"25952","26075","FS-1457555","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","85","27","D1SA","SANTIAGO","CA-ORC-68555","Santiago","CA3372011766020071021","SANTIAGO",NA,"2007",2007-10-21,"294","1800",9,"Miscellaneous",2007-11-08,312,1800,28476,"G",33.74583333,-117.66666667,"14","MISSING/NOT SPECIFIED","CA","59","59","Orange","Human",2007-10-21,2017-10-21,18
"52",NA,"26128","26253","FS-1457784","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","158","068","DY5Q","BUTLER 2","CA-BDF-9435","BUTLER 2","CA3428911699320070914","BUTLER 2",NA,"2007",2007-09-14,"257","1321",9,"Miscellaneous",NA,NA,NA,14039,"G",34.25805556,-117.01027778,"5","USFS","CA","71","71","San Bernardino","Human",2007-09-14,2017-09-14,NA
"53",NA,"26131","26256","FS-1457791","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","165","073","D1RW","GRASS VALLEY","CA-BDF-10566","GRASS VALLEY","CA3426711722820071022","GRASS VALLEY",NA,"2007",2007-10-22,"295","500",9,"Miscellaneous",NA,NA,NA,1247,"F",34.27472222,-117.21694444,"5","USFS","CA","71","71","San Bernardino","Human",2007-10-22,2017-10-22,NA
"54",NA,"26134","26259","FS-1457794","FED","FS-FIRESTAT","FS","USCABDF","San Bernardino National Forest","0512","San Bernardino National Forest","167","074","D1RV","SLIDE","CA-BDF-10570","SLIDE","CA3423111709520071022","SLIDE",NA,"2007",2007-10-22,"295","800",9,"Miscellaneous",2007-11-14,318,600,12759,"G",34.25194444,-117.05,"5","USFS","CA","71","71","San Bernardino","Human",2007-10-22,2017-10-22,23
"55",NA,"26149","26274","FS-1457823","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","38","038","D1Q3","RANCH","CA-ANF-4306","RANCH","CA3451611872720071020","RANCH",NA,"2007",2007-10-20,"293","2142",2,"Equipment Use",2007-11-15,319,1800,45300,"G",34.57305556,-118.69833333,"5","USFS","CA","37","37","Los Angeles","Human",2007-10-20,2017-10-20,26
"56",NA,"26182","26307","FS-1457872","FED","FS-FIRESTAT","FS","USCASHF","Shasta-Trinity National Forest","0514","Shasta-Trinity National Forest","82","1882","DYU1","WALLOW","CA-SHF-1882","WALLOW","CA4049212334320070829","WALLOW",NA,"2007",2007-08-29,"241","1359",2,"Equipment Use",2007-09-08,251,1900,1440,"F",40.48388889,-123.35194444,"13","STATE OR PRIVATE","CA","105","105","Trinity","Human",2007-08-29,2017-08-29,10
"57",NA,"26364","26492","FS-1458086","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","82","21","D1RC","WITCH","CA-MVU-010432","Witch","CA3307911676620071021","WITCH",NA,"2007",2007-10-21,"294","1236",9,"Miscellaneous",2007-10-31,304,1800,197990,"G",33.07444444,-116.71111111,"14","MISSING/NOT SPECIFIED","CA","73","73","San Diego","Human",2007-10-21,2017-10-21,10
"58",NA,"26388","26516","FS-1458112","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","88","26","D1SE","RICE","CA-MVU-010502","RICE","CA3338411718020071022","RICE",NA,"2007",2007-10-22,"295","415",9,"Miscellaneous",2007-10-29,302,1900,9472,"G",33.39694444,-117.14805556,"14","MISSING/NOT SPECIFIED","CA","73","73","San Diego","Human",2007-10-22,2017-10-22,7
"59",NA,"26446","26574","FS-1458182","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","42","08","DYS4","GROUSE","CA-SQF-2947","Grouse","CA3628511842820070827","GROUSE",NA,"2007",2007-08-27,"239","1430",1,"Lightning",2007-12-18,352,930,1022,"F",36.27805556,-118.42166667,"5","USFS","CA","107","107","Tulare","Natural",2007-08-27,2017-08-27,113
"60",NA,"26456","26584","FS-1458192","FED","FS-FIRESTAT","FS","USCAANF","Angeles National Forest","0501","Angeles National Forest","167","105","D1RF","BUCKWEED","CA-LAC-07232185","BUCKWEED","CA3451511844620071021","BUCKWEED",NA,"2007",2007-10-21,"294","1304",8,"Children",2007-10-21,294,1320,38356,"G",34.52444444,-118.33472222,"14","MISSING/NOT SPECIFIED","CA","37","37","Los Angeles","Human",2007-10-21,2017-10-21,0
"61",NA,"26498","26626","FS-1458240","FED","FS-FIRESTAT","FS","USCACNF","Cleveland National Forest","0502","Cleveland National Forest","87","25","D1SF","POOMACHA","CA-MVU-10643","Poomacha","CA3330011692020071023","POOMACHA",NA,"2007",2007-10-23,"296","315",9,"Miscellaneous",2007-12-01,335,1800,49390,"G",33.2775,-116.86805556,"14","MISSING/NOT SPECIFIED","CA","73","73","San Diego","Human",2007-10-23,2017-10-23,39
